timestamp,query,label
6/25/2021,"I need financial assistance, dialysis support and food after being retrenched due to COVID 19",0
6/25/2021,food,0
6/25/2021,elderly financial support unemployed,0
6/25/2021,unemployed youth graduate healthy,0
6/26/2021,I am being abused. In need of mental healthcare.,1
6/26/2021,I need mental healthcare,1
6/26/2021,My client is a child that is being neglected by parents.,0
6/27/2021,Dialysis patient in need of food,0
6/28/2021,i need food,0
6/30/2021,"My client is a permanent resident and she needs help with her medical bills as she was hospitalized, had chemotherapy and radiotherapy due to her breast cancer.",0
7/1/2021,my client needs assistance appealing for a rental flat,0
7/2/2021,elderly,0
7/2/2021,food,0
7/3/2021,I am a university undergraduate looking for financial assistance and scholarships for university fees,0
7/6/2021,I am a 50 year old who needs social assistance in applying for rental flat,0
7/6/2021,hdb,0
7/7/2021,family service centre,0
7/7/2021,My client husband didnt come home for 3 years and need assistance financially. My client is a home maker and support 1 son,0
7/9/2021,care for special needs child,0
7/9/2021,insurance for children,0
7/9/2021,I am abused by my family member in ang mo kio,1
7/9/2021,I am abused by my family member in ang mo kio. what can I do?,1
7/9/2021,I am abused by myffather at ang mo kio. what can I do?,1
7/9/2021,My client is abused by my her father at ang mo kio. what can she do?,1
7/9/2021,My client faced violence by her father. what can she do?,1
7/9/2021,My client faced violence from her father. what can she do?,1
7/9/2021,I need financial help,0
7/9/2021,I need money,0
7/9/2021,housing problem,0
7/9/2021,migrant spouses transnational families,0
7/10/2021,Looking for jobs,0
7/10/2021,"I am a depression patient with 1 year of medical certificate and need help financially, I have have two kids",1
7/11/2021,Funeral services for a person,0
7/11/2021,Weighing machine above 140kg,0
7/11/2021,Weighing machine,0
7/11/2021,Bariatric,0
7/11/2021,I need money to buy a weighing machine,0
7/11/2021,Financial assistance for a fridge,0
7/11/2021,Im a PR who lost my job disabled and needs some financial assistance,0
7/11/2021,My father is bankrupt and cannot pay his legal fees,0
7/11/2021,I just got retrenched and have young children in childcare,0
7/12/2021,Financial aid,0
7/12/2021,employment trainings,0
7/12/2021,Depression cannot leave house,1
7/12/2021,food support,0
7/12/2021,food delivery support,0
7/12/2021,food delivery support disability,0
7/12/2021,will writing and LPA,0
7/12/2021,will writing,0
7/12/2021,LPA,0
7/12/2021,Elderly in need for food rations,0
7/12/2021,Im a parent who cannot afford my sons dyslexia assessment,0
7/12/2021,Milk and diaper,0
