scheme,agency,description,image,link,who_is_it_for,what_it_gives,scheme_type,search_booster,phone,email,address,how_to_apply
Various services,Montfort Care Family Service,Provides casework & counselling; therapeutic groupwork,https://chidnast.sirv.com/SchemesSG/27fsc.jpg,https://montfortcare.org.sg/services/families/,Families,"Counselling,Casework","Low Income,Family","social service, individuals, families, casework, counselling",,,,
Financial Assistance,365 Cancer Prevention Society (365CPS),"Provides care and support, counselling, nutritional support, physiotherapy, financial assistance for basic needs and health education to cancer patients",https://chidnast.sirv.com/SchemesSG/365cps.jpg,https://365cps.org.sg/portfolio/financial-support/,Cancer patients,Financial assistance for cancer treatment,"Low Income,Healthcare","See doctor, cancer, oncology",,,,
Food Assistance,A Packet of Rice,A self setup group which distributes meal box to low income needy residents and senior citizens who residing in rented 1 or 2 rooms flats. Operates near the Bukit Merah region.,https://chidnast.sirv.com/SchemesSG/apacketofrice.jpg,https://www.aspirantsg.com/a-packet-of-rice-bring-smiles-to-needy-old-folks-in-singapore/,"Low income,Need food support",Food,"Low Income,Food","Needs help to get food, meal, hungry, have not eaten for days. Child needs food.",,,,
Rehabilitation Centre and Respite Centre,Abilities Beyond Limitations and Expectations (ABLE),"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair-accessible vans to provide transport at reasonable rates.",https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,"PWD,Elderly,Caregivers","Occupational therapy,Physiotherapy,Educational programmes","PWD,Family,Transport,Healthcare,Mental Health","rehabilitation, occupational therapy, physiotherapy, respite services, wheelchair accessible vans, physical disability, caregiver burden, caregive overloaded, caregiver needs help, physical disabilities return to work, transport for disabled",,,,
Various Services,Acronis Cyber Foundation Program,"We prepare educational programs (IT Training) during which ex-offenders gain hard and soft skills necessary to secure a job, motivational workshops, and earn certificates of recognition that will help them in their pursuit of employment.",https://chidnast.sirv.com/SchemesSG/acronis.jpg,https://acronis.org/rehabilitation-of-inmates/,Ex-offenders,"Vocational training,Employment assistance","Ex-offender,Employment","ex-convict need job, ex-convict skills training course, learning programme",,,,
Care for Family Fund,Action for AIDS (AFA),The fund provides financial assistance to low-income PLHIVs and their families to tide them through their financial difficulties.,https://chidnast.sirv.com/SchemesSG/afa.jpg,https://afa.org.sg/what-we-do/plhiv-support-and-care/financial-subsidies/,"HIV patients,Caregivers",Financial assistance for HIV patients,"Healthcare,Family","Contracted AIDS unable to work, face stigma from AIDS, HIV positive",,,,
HIV+ Pregnant Mothers' Fund,Action for AIDS (AFA),"To eliminate mother-to-child HIV transmission, this fund covers antiretroviral medication costs for HIV-positive mothers who cannot afford HIV medication.",https://chidnast.sirv.com/SchemesSG/afa.jpg,https://afa.org.sg/what-we-do/plhiv-support-and-care/financial-subsidies/,HIV patients,Financial assistance for HIV patients,"Healthcare,Family","AIDS, HIV, HIV positive, medicine",,,,
Linkage to Care,Action for AIDS (AFA),"The fund provides a $200 subsidy for the first visit to a local hospital (NCID/TTTSH, NUH, CGH), for those who are diagnosed at the AfA's Anonymous Testing sites (ATS and MTS) to help them begin medical treatment.",https://chidnast.sirv.com/SchemesSG/afa.jpg,https://afa.org.sg/what-we-do/plhiv-support-and-care/financial-subsidies/,HIV patients,Financial assistance for HIV patients,Healthcare,"Hospitalisation fees, healthcare subsidy, see doctor no money",,,,
Paddy Chew Empowerment Fund,Action for AIDS (AFA),This quarterly empowerment fund is available to PLHIV who volunteer a certain number of hours for AfA's programmes to give back to the community and engaged in breaking the silence around HIV.,https://chidnast.sirv.com/SchemesSG/afa.jpg,https://afa.org.sg/what-we-do/plhiv-support-and-care/financial-subsidies/,HIV patients,Financial assistance for HIV patients,Healthcare,"HIV and AIDS patients, HIV positive, AIDS treatment, no money to see doctor",,,,
Various services,Active Global Home and Community Care,"Provides long-term, subsidized home-based care and/or community-based care and healthcare services to support frail and home-bound elderly.",https://chidnast.sirv.com/SchemesSG/activeglobal.jpg,https://www.activeglobalcaregiver.sg/,Caregivers,"Caregiving,Healthcare,Emotional care","Mental health,Healthcare,Caregiver,Elderly,Family","burnout, tired, lonely, taking care of, sole caregiver, no rest, dementia, elderly, special needs, disabled, depression, mental health, schizophrenia, mentally ill, alzheimer, self harm, respite, workshop, skills training, cannot afford, need to pay, medical bills, see doctor, hospital checkup, maid too expensive, no time, caregiving",,,,
